iterations	16
elapsed_seconds	565.5960729122162
initialization_seconds	0.29202699661254883
initial_lower_residual	9.844669079939194e-9
initial_upper_residual	9.941246048583707e-9
initial_upper_iterations	1628
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	41.63028163367722
root_upper	51.06015102005352
root_gap	9.429869386376296
alpha_count	4
belief_count	6212641
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
