iterations	79
elapsed_seconds	604.9870100021362
initialization_seconds	0.2865910530090332
initial_lower_residual	8.923742966793213e-9
initial_upper_residual	9.972113801381965e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	3.5070155837425165
root_upper	3.5855026988724905
root_gap	0.07848711512997397
alpha_count	7
belief_count	1586572
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
