iterations	917
elapsed_seconds	500.24494099617004
initialization_seconds	0.14907193183898926
initial_lower_residual	8.77845263147492e-9
initial_upper_residual	9.972599634977541e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	6.4847416350352916
root_upper	6.495827826862435
root_gap	0.01108619182714321
alpha_count	7
belief_count	7107514
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
