iterations	355
elapsed_seconds	269.48070096969604
initialization_seconds	0.22484493255615234
initial_lower_residual	8.615102964348864e-9
initial_upper_residual	9.648890575419955e-9
initial_upper_iterations	170
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	1.0628583198316575
root_upper	1.0726291183500503
root_gap	0.009770798518392798
alpha_count	5
belief_count	4912321
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
