iterations	682
elapsed_seconds	272.77406907081604
initialization_seconds	0.1497631072998047
initial_lower_residual	8.77845263147492e-9
initial_upper_residual	9.972599634977541e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	6.512975188652427
root_upper	6.522908483811442
root_gap	0.009933295159014754
alpha_count	7
belief_count	6029332
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
