iterations	50
elapsed_seconds	855.7476789951324
initialization_seconds	0.27584290504455566
initial_lower_residual	8.285608643632258e-9
initial_upper_residual	9.119445643079871e-9
initial_upper_iterations	159
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	4.155270087644592
root_upper	4.216926885770936
root_gap	0.06165679812634384
alpha_count	5
belief_count	1163968
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
