iterations	204
elapsed_seconds	153.9742660522461
initialization_seconds	0.3168618679046631
initial_lower_residual	8.285608643632258e-9
initial_upper_residual	9.119445643079871e-9
initial_upper_iterations	159
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	4.171952632058404
root_upper	4.181778670222258
root_gap	0.009826038163853745
alpha_count	4
belief_count	3590329
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
