iterations	363
elapsed_seconds	128.40344190597534
initialization_seconds	0.3097519874572754
initial_lower_residual	8.158549835712847e-9
initial_upper_residual	9.528844380213286e-9
initial_upper_iterations	164
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	3.6688840854282043e-9
root_lower	3.124637901447175
root_upper	3.134636234791913
root_gap	0.009998333344737986
alpha_count	3
belief_count	2723449
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
