iterations	317
elapsed_seconds	155.34959411621094
initialization_seconds	0.254148006439209
initial_lower_residual	8.77845263147492e-9
initial_upper_residual	9.972599634977541e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	6.562732683242764
root_upper	6.572686085324477
root_gap	0.009953402081713136
alpha_count	4
belief_count	5716894
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
